Cross,Gen,Gen_ID,Mortality,Carot,Conc_ug_ml,Conc_ug_ind,Conc_ng_mm,Length,Width,Oxygen,Oxygen_size,O2_plate_ID
BBxSD,F2,F2_102,Survived,Astaxanthin,0.25225,0.0075675,8.66838488,0.873,0.346,-0.086075058,-0.098596859,6
BBxSD,F2,F2_102,Survived,Zeaxanthin,0.59987,0.0179961,20.61408935,0.873,0.346,-0.086075058,-0.098596859,6
BBxSD,F2,F2_103,Survived,Astaxanthin,0.10404,0.0031212,3.292405063,0.948,0.368,-0.086654925,-0.091408149,6
BBxSD,F2,F2_103,Survived,Zeaxanthin,0.52831,0.0158493,16.71867089,0.948,0.368,-0.086654925,-0.091408149,6
BBxSD,F2,F2_104,Survived,Astaxanthin,0.1903,0.005709,6.079872204,0.939,0.333,-0.040352256,-0.042973648,6
BBxSD,F2,F2_104,Survived,Zeaxanthin,0.48278,0.0144834,15.42428115,0.939,0.333,-0.040352256,-0.042973648,6
BBxSD,F2,F2_105,Survived,Astaxanthin,0,0,0,0.846,0.311,-0.048543558,-0.057380092,6
BBxSD,F2,F2_105,Survived,Zeaxanthin,0,0,0,0.846,0.311,-0.048543558,-0.057380092,6
BBxSD,F2,F2_106,Survived,Astaxanthin,0.17406,0.0052218,5.821404682,0.897,0.358,-0.033158109,-0.036965561,6
BBxSD,F2,F2_106,Survived,Zeaxanthin,0.85671,0.0257013,28.65250836,0.897,0.358,-0.033158109,-0.036965561,6
BBxSD,F2,F2_107,Survived,Astaxanthin,0,0,0,0.91,0.34,-0.063373527,-0.069641238,6
BBxSD,F2,F2_107,Survived,Zeaxanthin,0,0,0,0.91,0.34,-0.063373527,-0.069641238,6
SDxBB,F2,F2_108,Survived,Astaxanthin,0.31419,0.0094257,10.20097403,0.924,0.371,-0.17044032,-0.18445922,6
SDxBB,F2,F2_108,Survived,Zeaxanthin,1.06942,0.0320826,34.72142857,0.924,0.371,-0.17044032,-0.18445922,6
SDxBB,F2,F2_109,Survived,Astaxanthin,0.45648,0.0136944,14.265,0.96,0.365,-0.258303753,-0.269066409,6
SDxBB,F2,F2_109,Survived,Zeaxanthin,1.11024,0.0333072,34.695,0.96,0.365,-0.258303753,-0.269066409,6
SDxBB,F2,F2_110,Survived,Astaxanthin,0.28806,0.0086418,9.454923414,0.914,0.332,-0.108784718,-0.119020479,6
SDxBB,F2,F2_110,Survived,Zeaxanthin,0.46881,0.0140643,15.38763676,0.914,0.332,-0.108784718,-0.119020479,6
SDxBB,F2,F2_111,Survived,Astaxanthin,0.00352,0.0001056,0.155752212,0.678,0.274,-0.054190489,-0.079926975,6
SDxBB,F2,F2_111,Survived,Zeaxanthin,0.39339,0.0118017,17.40663717,0.678,0.274,-0.054190489,-0.079926975,6
SDxBB,F2,F2_112,Survived,Astaxanthin,0.0812,0.002436,2.9,0.84,0.312,-0.101812762,-0.12120567,6
SDxBB,F2,F2_112,Survived,Zeaxanthin,0.09303,0.0027909,3.3225,0.84,0.312,-0.101812762,-0.12120567,6
SDxBB,F2,F2_113,Survived,Astaxanthin,0.28746,0.0086238,10.03934808,0.859,0.327,-0.23665628,-0.275502072,6
SDxBB,F2,F2_113,Survived,Zeaxanthin,0.43558,0.0130674,15.21233993,0.859,0.327,-0.23665628,-0.275502072,6
SDxBB,F2,F2_114,Survived,Astaxanthin,0.10071,0.0030213,3.698041616,0.817,0.286,-0.188237366,-0.230400693,6
SDxBB,F2,F2_114,Survived,Zeaxanthin,0.66653,0.0199959,24.4747858,0.817,0.286,-0.188237366,-0.230400693,6
SDxBB,F2,F2_115,Survived,Astaxanthin,0.1255,0.003765,4.525240385,0.832,0.319,-0.244573906,-0.293959022,6
SDxBB,F2,F2_115,Survived,Zeaxanthin,0.02307,0.0006921,0.831850962,0.832,0.319,-0.244573906,-0.293959022,6
BBxSD,F2,F2_116,Survived,Astaxanthin,0.09003,0.0027009,3.151575263,0.857,0.32,-0.03880075,-0.045275087,6
BBxSD,F2,F2_116,Survived,Zeaxanthin,0.4135,0.012405,14.47491249,0.857,0.32,-0.03880075,-0.045275087,6
BBxSD,F2,F2_117,Survived,Astaxanthin,0.03962,0.0011886,1.275321888,0.932,0.331,-0.079738292,-0.085556107,6
BBxSD,F2,F2_117,Survived,Zeaxanthin,0.05896,0.0017688,1.897854077,0.932,0.331,-0.079738292,-0.085556107,6
BBxSD,F2,F2_118,Survived,Astaxanthin,0.05996,0.0017988,2.226237624,0.808,0.284,-0.113357043,-0.14029337,7
BBxSD,F2,F2_118,Survived,Zeaxanthin,0.54125,0.0162375,20.09591584,0.808,0.284,-0.113357043,-0.14029337,7
BBxSD,F2,F2_119,Survived,Astaxanthin,0.02201,0.0006603,0.853100775,0.774,0.276,-0.055706318,-0.071971987,7
BBxSD,F2,F2_119,Survived,Zeaxanthin,0.09065,0.0027195,3.513565891,0.774,0.276,-0.055706318,-0.071971987,7
BBxSD,F2,F2_120,Survived,Astaxanthin,0.60476,0.0181428,17.26241675,1.051,0.401,-0.570937317,-0.543232461,7
BBxSD,F2,F2_120,Survived,Zeaxanthin,1.16117,0.0348351,33.14471931,1.051,0.401,-0.570937317,-0.543232461,7
SDxBB,F2,F2_121,Survived,Astaxanthin,0.21879,0.0065637,5.46519567,1.201,0.41,-0.144965226,-0.120703769,7
SDxBB,F2,F2_121,Survived,Zeaxanthin,0.23958,0.0071874,5.984512906,1.201,0.41,-0.144965226,-0.120703769,7
SDxBB,F2,F2_122,Survived,Astaxanthin,0.06019,0.0018057,2.16251497,0.835,0.28,-0.265626383,-0.318115429,7
SDxBB,F2,F2_122,Survived,Zeaxanthin,0.03523,0.0010569,1.265748503,0.835,0.28,-0.265626383,-0.318115429,7
SDxBB,F2,F2_123,Survived,Astaxanthin,0.04855,0.0014565,1.636516854,0.89,0.365,-0.209577067,-0.235479851,7
SDxBB,F2,F2_123,Survived,Zeaxanthin,0.25264,0.0075792,8.515955056,0.89,0.365,-0.209577067,-0.235479851,7
SDxBB,F2,F2_124,Survived,Astaxanthin,0.03639,0.0010917,1.154016913,0.946,0.335,-0.237009664,-0.250538757,7
SDxBB,F2,F2_124,Survived,Zeaxanthin,0.01439,0.0004317,0.456342495,0.946,0.335,-0.237009664,-0.250538757,7
SDxBB,F2,F2_125,Survived,Astaxanthin,0.04082,0.0012246,1.325324675,0.924,0.317,-0.175706318,-0.190158353,7
SDxBB,F2,F2_125,Survived,Zeaxanthin,0.21663,0.0064989,7.033441558,0.924,0.317,-0.175706318,-0.190158353,7
SDxBB,F2,F2_126,Survived,Astaxanthin,0.03799,0.0011397,1.249671053,0.912,0.345,-0.301215057,-0.330279667,7
SDxBB,F2,F2_126,Survived,Zeaxanthin,0.2134,0.006402,7.019736842,0.912,0.345,-0.301215057,-0.330279667,7
SDxBB,F2,F2_127,Survived,Astaxanthin,0.07509,0.0022527,2.511371237,0.897,0.319,-0.134557422,-0.150008274,7
SDxBB,F2,F2_127,Survived,Zeaxanthin,0.05844,0.0017532,1.95451505,0.897,0.319,-0.134557422,-0.150008274,7
